166500.00 8
 3 -13224843.59980 -22977997.50430   1958873.39380  22662521.25000
 6 -21631675.51130   7993809.02190  13216913.21460  24395644.29700
 7 -25383817.18320  -6159833.26470   6179328.24630  23772628.39100
 9 -15316824.64000  -4098492.23840  21271781.21600  21100560.78900
16   2270762.22620 -21183690.24270  15444960.99500  20731222.44500
22  -9609034.12720 -24176930.60450  -5050331.71980  24187063.07000
23  -7839996.96110 -15295167.14590  20406639.06540  20328608.30500
26   9569372.94500 -13321038.67830  20868279.01600  21769217.69500
166501.00 8
 3 -13224709.56690 -22978346.91210   1955714.28570  22663189.36700
 6 -21633334.49990   7993526.13920  13214364.26400  24396026.47700
 7 -25383053.13510  -6160012.00220   6182345.24200  23772069.37500
 9 -15315420.21970  -4100813.79450  21272343.07610  21100161.80500
16   2271680.67910 -21181908.01390  15447290.35410  20731095.25800
22  -9608358.68060 -24176541.89060  -5053336.79540  24187777.89800
23  -7838525.84380 -15297254.23430  20405584.38950  20328575.99200
26   9570692.88600 -13318735.33500  20869156.00790  21769542.53100
166502.00 8
 3 -13224575.37460 -22978695.97410   1952555.13600  22663857.55500
 6 -21634993.18560   7993243.37120  13211815.03290  24396408.70300
 7 -25382288.72470  -6160190.75700   6185362.11030  23771510.15600
 9 -15314015.89260  -4103135.48980  21272904.48210  21099763.60900
16   2272599.35440 -21180125.56850  15449619.37510  20730968.78900
22  -9607683.02260 -24176152.88590  -5056341.76280  24188492.17200
23  -7837054.90810 -15299341.29750  20404529.28530  20328543.77300
26   9572013.00990 -13316431.97130  20870032.55490  21769867.64100
166503.00 8
 3 -13224441.02290 -22979044.69030   1949395.94490  22664525.68800
 6 -21636651.56840   7992960.71800  13209265.52130  24396789.52300
 7 -25381523.95220  -6160369.52910   6188378.85110  23770951.73400
 9 -15312611.65870  -4105457.32410  21273465.43410  21099365.30500
16   2273518.25200 -21178342.90630  15451948.05820  20730842.24200
22  -9607007.15320 -24175763.59070  -5059346.62180  24189207.92200
23  -7835584.15390 -15301428.33550  20403473.75280  20328512.03100
26   9573333.31650 -13314128.58710  20870908.65710  21770193.13300
166504.00 8
 3 -13224306.51180 -22979393.06080   1946236.71250  22665194.36700
 6 -21638309.64820   7992678.17940  13206715.72930  24397170.24200
 7 -25380758.81760  -6160548.31850   6191395.46420  23770393.46100
 9 -15311207.51820  -4107779.29740  21274025.93210  21098967.32800
16   2274437.37190 -21176560.02760  15454276.40320  20730716.04700
22  -9606331.07230 -24175374.00480  -5062351.37250  24189922.40600
23  -7834113.58140 -15303515.34830  20402417.79210  20328480.60200
26   9574653.80600 -13311825.18250  20871784.31430  21770518.76600
166505.00 8
 3 -13224171.84130 -22979741.08550   1943077.43870  22665862.66400
 6 -21639967.42500   7992395.75550  13204165.65690  24397553.71100
 7 -25379993.32080  -6160727.12530   6194411.94970  23769835.00800
 9 -15309803.47090  -4110101.40960  21274585.97600  21098569.74200
16   2275356.71420 -21174776.93230  15456604.41010  20730589.65600
22  -9605654.78000 -24174984.12840  -5065356.01470  24190637.44500
23  -7832643.19060 -15305602.33580  20401361.40320  20328449.11700
26   9575974.47830 -13309521.75770  20872659.52670  21770844.50800
166506.00 8
 3 -13224037.01110 -22980088.76450   1939918.12380  22666532.41400
 6 -21641624.89880   7992113.44630  13201615.30420  24397936.50000
 7 -25379227.46190  -6160905.94960   6197428.30750  23769277.19500
 9 -15308399.51710  -4112423.66080  21275145.56580  21098171.74200
16   2276276.27900 -21172993.62060  15458932.07880  20730464.44500
22  -9604978.27610 -24174593.96140  -5068360.54850  24191352.64100
23  -7831172.98130 -15307689.29790  20400304.58610  20328418.75800
26   9577295.33340 -13307218.31250  20873534.29420  21771170.46900
166507.00 8
 3 -13223902.02140 -22980436.09770   1936758.76760  22667202.21100
 6 -21643282.06940   7991831.25160  13199064.67130  24398318.35900
 7 -25378461.24080  -6161084.79130   6200444.53750  23768718.97700
 9 -15306995.65660  -4114746.05080  21275704.70150  21097774.13300
16   2277196.06610 -21171210.09240  15461259.40930  20730338.81300
22  -9604301.56070 -24174203.50390  -5071364.97360  24192068.03900
23  -7829702.95380 -15309776.23460  20399247.34080  20328387.71900
26   9578616.37120 -13304914.84720  20874408.61670  21771497.28900
166508.00 8
 3 -13223766.87210 -22980783.08530   1933599.37030  22667871.28900
 6 -21644938.93700   7991549.17140  13196513.75820  24398702.06300
 7 -25377694.65770  -6161263.65060   6203460.63970  23768161.29700
 9 -15305591.88960  -4117068.57970  21276263.38300  21097377.06300
16   2278116.07570 -21169426.34790  15463586.40160  20730213.85900
22  -9603624.63380 -24173812.75600  -5074369.29020  24192783.20300
23  -7828233.10800 -15311863.14580  20398189.66740  20328356.96100
26   9579937.59180 -13302611.36170  20875282.49420  21771823.96900
166509.00 8
 3 -13223631.56310 -22981129.72710   1930439.93200  22668540.69500
 6 -21646595.50130   7991267.20570  13193962.56490  24399085.71900
 7 -25376927.71250  -6161442.52740   6206476.61400  23767603.45300
 9 -15304188.21620  -4119391.24720  21276821.61050  21096980.05500
16   2279036.30770 -21167642.38710  15465913.05550  20730089.32000
22  -9602947.49520 -24173421.71770  -5077373.49810  24193499.03100
23  -7826763.44380 -15313950.03140  20397131.56580  20328326.99200
26   9581258.99500 -13300307.85620  20876155.92680  21772150.64100
166510.00 8
 3 -13223496.09440 -22981476.02330   1927280.45280  22669210.61700
 6 -21648251.76240   7990985.35450  13191411.09150  24399469.22700
 7 -25376160.40530  -6161621.42190   6209492.46030  23767046.42200
 9 -15302784.63620  -4121714.05350  21277379.38390  21096583.22700
16   2279956.76210 -21165858.21010  15468239.37110  20729964.45300
22  -9602270.14500 -24173030.38900  -5080377.59720  24194215.02300
23  -7825293.96140 -15316036.89150  20396073.03610  20328296.56300
26   9582580.58100 -13298004.33070  20877028.91440  21772478.28900
166511.00 8
 3 -13223360.46590 -22981821.97390   1924120.93260  22669881.16400
 6 -21649907.72030   7990703.61770  13188859.33810  24399852.44500
 7 -25375392.73600  -6161800.33410   6212508.17850  23766489.46100
 9 -15301381.14990  -4124036.99850  21277936.70300  21096186.44500
16   2280877.43910 -21164073.81690  15470565.34830  20729840.09400
22  -9601592.58310 -24172638.76990  -5083381.58740  24194931.09400
23  -7823824.66080 -15318123.72580  20395014.07840  20328266.58600
